cruise_agent,cruise_job_duration,cruise_job_id,cruise_job_result,cruise_pipeline_counter,cruise_pipeline_label,cruise_stage_counter,cruise_timestamp_01_scheduled,cruise_timestamp_02_assigned,cruise_timestamp_03_preparing,cruise_timestamp_04_building,cruise_timestamp_05_completing,cruise_timestamp_06_completed,tests_failed_count,tests_ignored_count,tests_total_count,tests_total_duration
degblogr00-0155.springer-sbm.com,137,44,Passed,21,0.21,1,2011-06-09T12:47:20+01:00,2011-06-09T12:47:25+01:00,2011-06-09T12:47:36+01:00,2011-06-09T12:47:36+01:00,2011-06-09T12:49:37+01:00,2011-06-09T12:49:54+01:00,0,0,10,0.000
degblogr00-0155.springer-sbm.com,70,46,Passed,22,0.22,1,2011-06-09T14:37:21+01:00,2011-06-09T14:37:30+01:00,2011-06-09T14:37:40+01:00,2011-06-09T14:37:41+01:00,2011-06-09T14:38:34+01:00,2011-06-09T14:38:52+01:00,0,0,11,0.000
degblogr00-0155.springer-sbm.com,69,48,Passed,23,0.23,1,2011-06-09T17:10:21+01:00,2011-06-09T17:10:27+01:00,2011-06-09T17:10:38+01:00,2011-06-09T17:10:38+01:00,2011-06-09T17:11:31+01:00,2011-06-09T17:11:48+01:00,0,0,11,0.000
degblogr00-0155.springer-sbm.com,76,50,Passed,24,0.24,1,2011-06-09T19:06:22+01:00,2011-06-09T19:06:33+01:00,2011-06-09T19:06:43+01:00,2011-06-09T19:06:44+01:00,2011-06-09T19:07:43+01:00,2011-06-09T19:08:01+01:00,0,0,11,0.000
degblogr00-0155.springer-sbm.com,72,52,Passed,25,0.25,1,2011-06-10T12:36:23+01:00,2011-06-10T12:36:27+01:00,2011-06-10T12:36:37+01:00,2011-06-10T12:36:37+01:00,2011-06-10T12:37:33+01:00,2011-06-10T12:37:50+01:00,0,0,11,0.000
degblogr00-0155.springer-sbm.com,57,55,Failed,26,0.26,1,2011-06-10T12:57:23+01:00,2011-06-10T12:57:35+01:00,2011-06-10T12:57:45+01:00,2011-06-10T12:57:46+01:00,2011-06-10T12:58:43+01:00,2011-06-10T12:58:43+01:00,1,0,10,0.000
degblogr00-0155.springer-sbm.com,50,58,Failed,27,0.27,1,2011-06-10T16:05:30+01:00,2011-06-10T16:05:34+01:00,2011-06-10T16:05:44+01:00,2011-06-10T16:05:45+01:00,2011-06-10T16:06:35+01:00,2011-06-10T16:06:35+01:00,1,0,10,0.000
degblogr00-0155.springer-sbm.com,71,59,Passed,28,0.28,1,2011-06-10T16:19:23+01:00,2011-06-10T16:19:35+01:00,2011-06-10T16:19:46+01:00,2011-06-10T16:19:46+01:00,2011-06-10T16:20:40+01:00,2011-06-10T16:20:57+01:00,0,0,10,0.000
degblogr00-0155.springer-sbm.com,81,61,Passed,29,0.29,1,2011-06-10T16:37:24+01:00,2011-06-10T16:37:33+01:00,2011-06-10T16:37:43+01:00,2011-06-10T16:37:44+01:00,2011-06-10T16:38:47+01:00,2011-06-10T16:39:05+01:00,0,0,11,0.000
degblogr00-0155.springer-sbm.com,75,63,Passed,30,0.30,1,2011-06-10T17:13:24+01:00,2011-06-10T17:13:32+01:00,2011-06-10T17:13:42+01:00,2011-06-10T17:13:43+01:00,2011-06-10T17:14:40+01:00,2011-06-10T17:14:59+01:00,0,0,11,0.000
degblogr00-0155.springer-sbm.com,75,65,Passed,31,0.31,1,2011-06-10T17:15:24+01:00,2011-06-10T17:16:05+01:00,2011-06-10T17:16:16+01:00,2011-06-10T17:16:16+01:00,2011-06-10T17:17:14+01:00,2011-06-10T17:17:32+01:00,0,0,11,0.000
degblogr00-0155.springer-sbm.com,243,67,Failed,32,0.32,1,2011-06-10T17:47:23+01:00,2011-06-10T17:47:29+01:00,2011-06-10T17:47:39+01:00,2011-06-10T17:47:39+01:00,2011-06-10T17:51:43+01:00,2011-06-10T17:51:43+01:00,1,0,12,0.000
degblogr00-0155.springer-sbm.com,55,68,Failed,33,0.33,1,2011-06-10T18:28:06+01:00,2011-06-10T18:28:13+01:00,2011-06-10T18:28:24+01:00,2011-06-10T18:28:24+01:00,2011-06-10T18:29:19+01:00,2011-06-10T18:29:19+01:00,1,0,12,0.000
degblogr00-0155.springer-sbm.com,48,69,Failed,34,0.34,1,2011-06-10T18:49:24+01:00,2011-06-10T18:49:30+01:00,2011-06-10T18:49:40+01:00,2011-06-10T18:49:40+01:00,2011-06-10T18:50:28+01:00,2011-06-10T18:50:29+01:00,0,0,6,0.000
degblogr00-0155.springer-sbm.com,75,70,Passed,35,0.35,1,2011-06-10T18:59:24+01:00,2011-06-10T18:59:29+01:00,2011-06-10T18:59:39+01:00,2011-06-10T18:59:39+01:00,2011-06-10T19:00:37+01:00,2011-06-10T19:00:55+01:00,0,0,12,0.000
degblogr00-0155.springer-sbm.com,77,72,Passed,36,0.36,1,2011-06-10T19:53:24+01:00,2011-06-10T19:53:32+01:00,2011-06-10T19:53:43+01:00,2011-06-10T19:53:43+01:00,2011-06-10T19:54:42+01:00,2011-06-10T19:55:01+01:00,0,0,13,0.000
degblogr00-0155.springer-sbm.com,78,74,Passed,37,0.37,1,2011-06-10T19:57:24+01:00,2011-06-10T19:57:27+01:00,2011-06-10T19:57:38+01:00,2011-06-10T19:57:38+01:00,2011-06-10T19:58:39+01:00,2011-06-10T19:58:57+01:00,0,0,13,0.000
degblogr00-0155.springer-sbm.com,76,78,Passed,38,0.38,2,2011-06-13T13:33:07+01:00,2011-06-13T13:33:13+01:00,2011-06-13T13:33:24+01:00,2011-06-13T13:33:24+01:00,2011-06-13T13:34:22+01:00,2011-06-13T13:34:40+01:00,0,0,13,0.000
degblogr00-0155.springer-sbm.com,76,80,Passed,39,0.39,1,2011-06-13T14:02:21+01:00,2011-06-13T14:02:28+01:00,2011-06-13T14:02:39+01:00,2011-06-13T14:02:39+01:00,2011-06-13T14:03:37+01:00,2011-06-13T14:03:55+01:00,0,0,14,0.000
degblogr00-0155.springer-sbm.com,79,84,Passed,40,0.40,1,2011-06-13T17:16:21+01:00,2011-06-13T17:16:26+01:00,2011-06-13T17:16:36+01:00,2011-06-13T17:16:37+01:00,2011-06-13T17:17:39+01:00,2011-06-13T17:17:57+01:00,0,0,14,0.000
degblogr00-0155.springer-sbm.com,78,86,Passed,41,0.41,1,2011-06-13T17:21:21+01:00,2011-06-13T17:21:26+01:00,2011-06-13T17:21:36+01:00,2011-06-13T17:21:37+01:00,2011-06-13T17:22:37+01:00,2011-06-13T17:22:55+01:00,0,0,18,0.000
degblogr00-0155.springer-sbm.com,80,88,Passed,42,0.42,1,2011-06-13T17:49:21+01:00,2011-06-13T17:49:24+01:00,2011-06-13T17:49:34+01:00,2011-06-13T17:49:35+01:00,2011-06-13T17:50:37+01:00,2011-06-13T17:50:55+01:00,0,0,19,0.000
degblogr00-0155.springer-sbm.com,80,90,Passed,43,0.43,1,2011-06-13T17:51:01+01:00,2011-06-13T17:52:04+01:00,2011-06-13T17:52:15+01:00,2011-06-13T17:52:15+01:00,2011-06-13T17:53:17+01:00,2011-06-13T17:53:35+01:00,0,0,21,0.000
degblogr00-0155.springer-sbm.com,77,92,Passed,44,0.44,1,2011-06-13T18:32:22+01:00,2011-06-13T18:32:34+01:00,2011-06-13T18:32:45+01:00,2011-06-13T18:32:45+01:00,2011-06-13T18:33:44+01:00,2011-06-13T18:34:02+01:00,0,0,21,0.000
degblogr00-0155.springer-sbm.com,79,94,Passed,45,0.45,1,2011-06-13T18:34:12+01:00,2011-06-13T18:35:11+01:00,2011-06-13T18:35:22+01:00,2011-06-13T18:35:22+01:00,2011-06-13T18:36:23+01:00,2011-06-13T18:36:42+01:00,0,0,22,0.000
degblogr00-0155.springer-sbm.com,79,96,Passed,46,0.46,1,2011-06-13T19:24:21+01:00,2011-06-13T19:24:31+01:00,2011-06-13T19:24:41+01:00,2011-06-13T19:24:42+01:00,2011-06-13T19:25:43+01:00,2011-06-13T19:26:01+01:00,0,0,23,0.000
degblogr00-0155.springer-sbm.com,79,98,Passed,47,0.47,1,2011-06-14T16:27:24+01:00,2011-06-14T16:27:26+01:00,2011-06-14T16:27:36+01:00,2011-06-14T16:27:37+01:00,2011-06-14T16:28:38+01:00,2011-06-14T16:28:56+01:00,0,0,23,0.000
degblogr00-0155.springer-sbm.com,77,100,Passed,48,0.48,1,2011-06-14T16:29:24+01:00,2011-06-14T16:30:10+01:00,2011-06-14T16:30:21+01:00,2011-06-14T16:30:21+01:00,2011-06-14T16:31:21+01:00,2011-06-14T16:31:39+01:00,0,0,23,0.000
degblogr00-0155.springer-sbm.com,78,102,Passed,49,0.49,1,2011-06-14T16:52:24+01:00,2011-06-14T16:52:29+01:00,2011-06-14T16:52:39+01:00,2011-06-14T16:52:39+01:00,2011-06-14T16:53:40+01:00,2011-06-14T16:53:58+01:00,0,0,23,0.000
degblogr00-0155.springer-sbm.com,77,104,Passed,50,0.50,1,2011-06-14T17:35:23+01:00,2011-06-14T17:35:27+01:00,2011-06-14T17:35:38+01:00,2011-06-14T17:35:38+01:00,2011-06-14T17:36:38+01:00,2011-06-14T17:36:56+01:00,0,0,23,0.000
degblogr00-0155.springer-sbm.com,76,106,Passed,51,0.51,1,2011-06-14T17:43:23+01:00,2011-06-14T17:43:30+01:00,2011-06-14T17:43:40+01:00,2011-06-14T17:43:41+01:00,2011-06-14T17:44:40+01:00,2011-06-14T17:44:58+01:00,0,0,23,0.000
degblogr00-0155.springer-sbm.com,77,108,Passed,52,0.52,1,2011-06-14T17:58:24+01:00,2011-06-14T17:58:27+01:00,2011-06-14T17:58:38+01:00,2011-06-14T17:58:38+01:00,2011-06-14T17:59:37+01:00,2011-06-14T17:59:56+01:00,0,0,23,0.000
